유기번호,발견장소,품종,색상,나이,체중,성별,중성화여부,특징
"444449202401109","서북구 직산읍 성진로 265-5","[개] 믹스견","미색","2021(년생)","15(Kg)","F","U","심장사상충 양성, 서혜부 탈장, 겁은 있으나 순함"
"444449202401104","서북구 성환읍 율금1길 233-8 조운농원","[개] 믹스견","미색","2024(60일미만)(년생)","0.5(Kg)","M","N","15마리 함께 구조, 3주 추정"
"444449202401103","서북구 성환읍 율금1길 233-8 조운농원","[개] 믹스견","미색","2024(60일미만)(년생)","0.5(Kg)","M","N","15마리 함께 구조, 3주 추정"
"444449202401102","서북구 성환읍 율금1길 233-8 조운농원","[개] 믹스견","미색","2024(60일미만)(년생)","0.5(Kg)","F","N","15마리 함께 구조, 3주 추정"
"444449202401098","서북구 성환읍 율금1길 233-8 조운농원","[개] 믹스견","미색","2024(60일미만)(년생)","0.5(Kg)","M","N","15마리 함께 구조, 3주 추정"
"444449202401092","서북구 성환읍 율금1길 233-8 조운농원","[개] 믹스견","미색","2024(60일미만)(년생)","0.3(Kg)","F","N","15마리 함께 구조, 3주 추정"
"444449202401091","서북구 성환읍 성환중앙로 36 (이편한용치과의원)","[개] 믹스견","검+흰","2019(년생)","15(Kg)","M","N","순함 , 소심함"
"444449202401075","서북구 성환읍 와룡길 91","[개] 믹스견","흰색","2021(년생)","5(Kg)","F","N","소심하지만 사람을 싫어하지 않음, 목줄 자국이 있음"
"444449202401053","동남구 목천읍 삼성5길 22-14 부영초 정문","[개] 사모예드","흰색","2021(년생)","18(Kg)","M","Y","police k9 이라고 적힌 하네스를 착용한채 구조 , 빡 미용된채 구조, 순함"
"444449202401052","동남구 목천읍 교천지산길 88","[개] 말티즈","흰색","2016(년생)","3(Kg)","F","U","백내장 , 빨간색 옷과 초록색 목줄을 한 채로 구조"
"444449202401017","서북구 성정로 128","[개] 믹스견","갈색","2022(년생)","8(Kg)","F","Y","순하고 사람을 좋아함"
"444449202400718","동남구 성남면 용원리 431-1","[개] 믹스견","흰색","2023(년생)","5(Kg)","F","N","소심하지만 사람을 좋아함 , 순함"
